tykk/72/www_vorumaateataja_ee.tykk:
<doc id="277476" length="1k-10k" crawl_date="2013-01-10" url="http://www.vorumaateataja.ee/index.php/ee/kuulutused/63-viimased-uudised/6106-voru-kohtumaja-moistis-kohut-ule-eestilise-kelmide-grupi-ule" web_domain="www.vorumaateataja.ee" langdiff="0.28" texttype="periodicals"> 
<gap/>
<p heading="1"> 
Reklaam    reklaam+0||S sg n||
pärit    pärit+0||X||
noor    noor+0||A sg n|| %noor+0||S sg n||
.    .+||Z||
</p>
<p heading="0"> 
Probleemsed    probleemne+d||A pl n||
kohad    koht+d||S pl n||+    koha+d||S pl n||
Peamiste    Peamine+te||H pl g||    Peamis+te||H pl g||    Peamiste+0||H sg g|| %peamine+te||A pl g||
probleemidena    probleem+dena||S pl es||
toodi    too+di||V ti||
välja    välja+0||D||
see    see+0||P sg n||
,    ,+||Z||
et    et+0||J||
noori    noor+i||S pl p||
nähakse    näge+akse||V takse||
sageli    sageli+0||D||
probleemide    probleem+de||S pl g||
allikatena    allikas+tena||S pl es||
ning    ning+0||J||
et    et+0||J||
ühiskonnal    ühiskond+l||S sg ad||
puudub    puudu+b||V b||
nende    tema+de||P pl g||
vastu    vastu+0||K||
usaldus    usaldus+0||S sg n||
.    .+||Z||
Samuti    samuti+0||D||
peeti    pida+ti||V ti||
valukohtadeks    valu_koht+deks||S pl tr||
noorte    noor+te||S pl g||
töötust    töötus+t||S sg p||
,    ,+||Z||
suurt    suur+t||A sg p||
väljalangemist    välja_langemine+t||S sg p||
koolist    kool+st||S sg el||
,    ,+||Z||
probleeme    probleem+e||S pl p||
omavahelistes    oma_vaheline+tes||A pl in||
suhetes    suhe+tes||S pl in||
ja    ja+0||J||
sellest    see+st||P sg el||
tulenevat    tulenev+t||A sg p||
koolivägivalda    kooli_vägi_vald+0||S sg p||
ning    ning+0||J||
alkoholi    alkohol+0||S sg g||
,    ,+||Z||
tubaka    tubakas+0||S sg g||
ja    ja+0||J||
narkootikumide    narkootikum+de||S pl g||
tarvitamist    tarvitamine+t||S sg p||
.    .+||Z||
</p>
<p heading="0"> 
Lahendustena    lahendus+tena||S pl es||
pakutigi    pakku+tigi||V ti||
tasuta    tasu+ta||S sg ab||
koolihariduse    kooli_haridus+0||S sg g||
juurutamist    juurutamine+t||S sg p||
kõikides    kõik+des||P pl in||
Euroopa    Euroopa+0||H sg g||
Liidu    Liit+0||H sg g||    Liidu+0||H sg g||    Liidud+0||H sg g|| %liit+0||S sg g||
riikides    riik+des||S pl in||
ning    ning+0||J||
ka    ka+0||D||
tasuta    tasu+ta||S sg ab||
kõrgharidust    kõrg_haridus+t||S sg p||
nominaalõppeaja    nominaal_õppe_aeg+0||S sg g||
ulatuses    ulatus+s||S sg in||
,    ,+||Z||
lisaks    lisa+ks||S sg tr||
erinevaid    erinev+id||A pl p||
stipendiume    stipendium+e||S pl p||
kõrghariduse    kõrg_haridus+0||S sg g||
omandamisel    omandamine+l||S sg ad||
.    .+||Z||
</p>
<p heading="0"> 
Noorte    Noor+te||H pl g||    Noorte+0||H sg g|| %noor+te||S pl g||
osaluse    osalus+0||S sg g||
suurendamiseks    suurendamine+ks||S sg tr||
pakuti    pakku+ti||V ti||
välja    välja+0||D||
,    ,+||Z||
et    et+0||J||
igas    iga+s||P sg in||
pealinnas    pea_linn+s||S sg in||
peaks    pida+ks||V ks||
noortevolikogul    noor+te_voli_kogu+l||S sg ad||
olema    ole+ma||V ma||
oma    oma+0||P sg g||
eelarve    eel_arve+0||S sg g|| %eel_arve+0||S sg n||
,    ,+||Z||
mille    mis+0||P pl g||    mis+0||P sg g||+
abil    abil+0||K||
ta    tema+0||P sg n||
saaks    saa+ks||V ks||
projekte    projekt+e||S pl p||
ellu    elu+0||S adt||
viia    vii+a||V da||
.    .+||Z||
Lisaks    lisa+ks||S sg tr||
sooviti    soovi+ti||V ti||
,    ,+||Z||
et    et+0||J||
kohalikul    kohalik+l||A sg ad||
tasandil    tasand+l||S sg ad||
leviks    levi+ks||S sg tr||
info    info+0||S sg g|| %info+0||S sg n||
noorte    noor+te||A pl g||
omaalgatuste    oma_algatus+te||S pl g||
kohta    kohta+0||K||
paremini    paremini+0||D||
.    .+||Z||
</p>
<p heading="0"> 
Noored    noor+d||S pl n||
olid    ole+id||V sid||
ka    ka+0||D||
huvitatud    huvita+tud||V tud||+    huvitatud+0||A||    huvitatud+0||A sg n||    huvitatud+d||A pl n||
,    ,+||Z||
et    et+0||J||
neid    tema+d||P pl p||
kaasataks    kaasa+taks||V taks||
aruteludesse    arutelu+desse||S pl ill||
linnaarengu    linna_areng+0||S sg g||
ja    ja+0||J||
-planeerimise    planeerimine+0||S sg g||
teemadel    teema+del||S pl ad||
.    .+||Z||
Sooviti    soovi+ti||V ti||
,    ,+||Z||
et    et+0||J||
kohaliku    kohalik+0||A sg g||
omavalitsuse    oma_valitsus+0||S sg g||
poliitikud    poliitik+d||S pl n||
kohtuksid    kohtu+ksid||V ksid||
noortega    noor+tega||S pl kom||
ja    ja+0||J||
arutaksid    aruta+ksid||V ksid||
projektide    projekt+de||S pl g||
edukuse    edukus+0||S sg g||
ning    ning+0||J||
kasutegurite    kasu_tegur+te||S pl g||
ja    ja+0||J||
kohaliku    kohalik+0||A sg g||
noortepoliitika    noor+te_poliitika+0||S sg g||
küsimuste    küsimus+te||S pl g||
üle    üle+0||K||
.    .+||Z||
Põhilisena    põhiline+na||A sg es||
leiti    leid+ti||V ti||
aga    aga+0||J||
,    ,+||Z||
et    et+0||J||
alati    alati+0||D||
tuleks    tule+ks||V ks||
arvestada    arvesta+da||V da||
noorte    noor+te||A pl g|| %noor+te||S pl g||
arvamusega    arvamus+ga||S sg kom||
.    .+||Z||
</p>
<p heading="0"> 
Otsiti    otsi+ti||V ti||
lahendusi    lahendus+i||S pl p||
Peamiseks    peamine+ks||A sg tr||
arutelude    arutelu+de||S pl g||
eesmärgiks    ees_märk+ks||S sg tr||
kujuneski    kujune+ski||V s||
lahenduste    lahendus+te||S pl g||
otsimine    otsimine+0||S sg n||
valitsevale    valitsev+le||A sg all||
olukorrale    olu_kord+le||S sg all||
,    ,+||Z||
et    et+0||J||
kindlustada    kindlusta+da||V da||
laste    laps+te||S pl g||
ja    ja+0||J||
noorte    noor+te||S pl g||
võrdsust    võrdsus+t||S sg p||
ning    ning+0||J||
väärilist    vääriline+t||A sg p||
elukvaliteeti    elu_kvaliteet+0||S sg p||
.    .+||Z||
Osalejad    osaleja+d||S pl n||
uskusid    usku+sid||V sid||
,    ,+||Z||
et    et+0||J||
ideaalne    ideaalne+0||A sg n||
laste-    laps+te||S pl g|| %laps+te||S ?||
ja    ja+0||J||
noortesõbralik    noor+te_sõbra=lik+0||A sg n||
linn    linn+0||S sg n||
tagab    taga+b||V b||
kõigile    kõik+le||P pl all||
võrdsed    võrdne+d||A pl n||
kodanikuõigused    kodaniku_õigus+d||S pl n||
koos    koos+0||K||
uute    uus+te||A pl g||
ja    ja+0||J||
innovaatiliste    innovaatiline+te||A pl g||
ideedega    idee+dega||S pl kom||
uue    uus+0||A sg g||
põlvkonna    põlvkond+0||S sg g||
arendamise    arendamine+0||S sg g||
nimel    nimel+0||K||
.    .+||Z||
</p>
<p heading="0"> 
Sellistest    selline+test||P pl el||
ideedest    idee+dest||S pl el||
koostatakse    koosta+takse||V takse||
dokument    dokument+0||S sg n||
,    ,+||Z||
kus    kus+0||D||
igas    iga+s||P sg in||
valdkonnas    valdkond+s||S sg in||
on    ole+0||V b||    ole+0||V vad||+
ära    ära+0||D||
toodud    too+dud||V tud||+    toodud+0||A||    toodud+0||A sg n||    toodud+d||A pl n||
konkreetsed    konkreetne+d||A pl n||
ettepanekud    ette_panek+d||S pl n||
linna    linn+0||S sg g||
laste-    laps+te||S pl g|| %laps+te||S ?||
ja    ja+0||J||
noortesõbralikkuse    noor+te_sõbralikkus+0||S sg g||
parendamiseks    parenda=mine+ks||S sg tr||
,    ,+||Z||
mille    mis+0||P pl g||+    mis+0||P sg g||
noored    noor+d||S pl n||
ja    ja+0||J||
nende    tema+de||P pl g||
saatjad    saatja+d||S pl n||
viivad    vii+vad||V vad||
oma    oma+0||P sg g||
pealinnadesse    pea_linn+desse||S pl ill||
.    .+||Z||
</p>
</doc>
<doc id="356072" length="1k-10k" crawl_date="2013-01-13" url="http://aken.enl.ee/5922" web_domain="aken.enl.ee" langdiff="0.37" texttype="periodicals"> 
<gap/>
<p heading="1"> 
Noorte    Noor+te||H pl g||    Noorte+0||H sg g|| %noor+te||S pl g||
tehtud    tehtud+0||A||+    tehtud+0||A sg n||    tehtud+d||A pl n||    tege+tud||V tud||
film    film+0||S sg n||
paljastab    paljasta+b||V b||
Põlvamaa    Põlva_maa+0||H sg g||
probleemid    probleem+d||S pl n||
</p>
<gap/>
<p heading="0"> 
Tänavu    tänavu+0||D||
suvel    suvi+l||S sg ad||
rahvusvahelise    rahvus_vaheline+0||A sg g||
noorsoovahetuse    noor_soo_vahetus+0||S sg g||
käigus    käigus+0||K||
valminud    valmi+nud||V nud||    valminud+0||A||+    valminud+0||A sg n||    valminud+d||A pl n||
Põlvamaa    Põlva_maa+0||H sg g||
Noortekogu    noor+te_kogu+0||S sg g||
film    film+0||S sg n||
“    “+||Z||
Difference    Difference+0||H sg n|| %difference+0||W||
Connects    Connects+0||H sg n|| %connects+0||W||
”    ”+||Z||
tõstis    tõst+is||V s||
Põlvamaa    Põlva_maa+0||H sg n|| %Põlva_maa+0||H sg g||
noorte    noor+te||A pl g||
peamiste    peamine+te||A pl g||
muredena    mure+dena||S pl es||
esile    esile+0||D||
passiivsuse    passiivsus+0||S sg g||
ja    ja+0||J||
transpordiprobleemid    transpordi_probleem+d||S pl n||
.    .+||Z||
</p>
<p heading="0"> 
Põlvamaa    Põlva_maa+0||H sg g||
Noortekogu    noor+te_kogu+0||S sg g||
juhatuse    juhatus+0||S sg g||
aseesimees    ase_esi_mees+0||S sg n||
Eveli    Eveli+0||H sg n||
Tigas    Tigas+0||H sg n||
ütles    ütle+s||V s||
,    ,+||Z||
et    et+0||J||
tihtipeale    tihti_peale+0||D||
ei    ei+0||V neg||
viitsi    viitsi+0||V o||
noored    noor+d||A pl n|| %noor+d||S pl n||
ise    ise+0||D||
vastutada    vastuta+da||V da||
.    .+||Z||
“    “+||Z||
Palju    palju+0||D||
on    ole+0||V b||+    ole+0||V vad||
selliseid    selline+id||P pl p||
noori    noor+i||S pl p||
,    ,+||Z||
kes    kes+0||P pl n||+    kes+0||P sg n||
lihtsalt    lihtsalt+0||D||
ootavad    oota+vad||V vad||
,    ,+||Z||
et    et+0||J||
neile    tema+le||P pl all||
pidusid    pidu+sid||S pl p||
korraldatakse    korralda+takse||V takse||
.“    .“+||Z||
</p>
<p heading="0"> 
Ka    ka+0||D||
Põlvamaa    Põlva_maa+0||H sg g||
noorsootöö    noor_soo_töö+0||S sg g||
spetsialisti    spetsialist+0||S sg g||
Heido    Heido+0||H sg n||
Sinivee    Sini_vesi+0||H sg g||    Sinivee+0||H sg g|| %Sini_vee+0||H sg g||
sõnul    sõna+ul||S pl ad||
on    ole+0||V b||    ole+0||V vad||+
neil    see+l||P pl ad||
noortel    noor+tel||S pl ad||
,    ,+||Z||
kes    kes+0||P pl n||+    kes+0||P sg n||
tahavad    taht+vad||V vad||
aktiivsed    aktiivne+d||A pl n||
olla    ole+a||V da||
,    ,+||Z||
võimalusi    võimalus+i||S pl p||
palju    palju+0||D||
.    .+||Z||
“    “+||Z||
Selles    see+s||P sg in||
osas    osa+s||S sg in||
ei    ei+0||V neg||
erine    erine+0||V o||
Põlvamaa    Põlva_maa+0||H sg g||
noored    noor+d||S pl n||
muidugi    muidugi+0||D||
teistest    teine+test||O pl el||    teine+test||P pl el||+
Eestimaa    Eesti_maa+0||H sg g||
noortest    noor+test||S pl el||
,    ,+||Z||
probleemid    probleem+d||S pl n||
on    ole+0||V b||    ole+0||V vad||+
täpselt    täpselt+0||D||
samad    sama+d||P pl n||
,”    ,”+||Z||
kinnitas    kinnita+s||V s||
Sinivee    Sinivee+0||H sg n||
.    .+||Z||
</p>
<p heading="0"> 
Põlvamaa    Põlva_maa+0||H sg g||
Noortekogu    noor+te_kogu+0||S sg g||
juhatuse    juhatus+0||S sg g||
esimehe    esi_mees+0||S sg g||
Kadri    Kadri+0||H sg n||
Pelisaare    Peli_saar+0||H sg g||+    Peli_saar+0||H sg g||
sõnul    sõna+ul||S pl ad||
ei    ei+0||V neg||
olegi    ole+0gi||V o||
alati    alati+0||D||
probleemiks    probleem+ks||S sg tr||
noorte    noor+te||S pl g||
ettevõtmatus    ette_võt=matus+0||S sg n||
.    .+||Z||
“    “+||Z||
Igaühes    iga_üks+s||P sg in||
tekib    tekki+b||V b||
küll    küll+0||D||
tahtmine    tahtmine+0||S sg n||
midagi    miski+dagi||P sg p||
teha    tege+a||V da||
,    ,+||Z||
aga    aga+0||J||
puudu    puudu+0||D||
on    ole+0||V b||+    ole+0||V vad||
just    just+0||D||+    just+0||I||
initsiaatoritest    initsiaator+test||S pl el||
,”    ,”+||Z||
lisas    lisa+s||V s||
ta    tema+0||P sg n||
.    .+||Z||
“    “+||Z||
Kui    kui+0||D||    kui+0||J||+
tahad    taht+d||V d||
pärast    pärast+0||K||
kooli    kool+i||S pl p||    kool+0||S sg p||+
huviringis    huvi_ring+s||S sg in||
käia    käi+a||V da||
,    ,+||Z||
aktiivselt    aktiivselt+0||D||
kuskil    kuskil+0||D||
tegutseda    tegutse+da||V da||
ja    ja+0||J||
elad    ela+d||V d||
maapiirkonnas    maa_piirkond+s||S sg in||
,    ,+||Z||
sõltub    sõltu+b||V b||
see    see+0||P sg n||
väga    väga+0||D||
palju    palju+0||D||
transpordist    transport+st||S sg el||
,”    ,”+||Z||
tõi    too+i||V s||
Pelisaar    peli_saar+0||S sg n|| %Peli_saar+0||H sg n||
välja    välja+0||D||
teisegi    teine+0gi||O sg g||+    teine+0gi||P sg g||
probleemi    probleem+0||S sg p|| %probleem+0||S sg g||
.    .+||Z||
Tema    tema+0||P sg g||
sõnul    sõna+ul||S pl ad||
jääbki    jää+bki||V b||
kehva    kehv+0||A sg g||
transpordi    transport+0||S sg g||
tõttu    tõttu+0||K||
paljudel    palju+del||P pl ad||
noortel    noor+tel||S pl ad||
võimalusi    võimalus+i||S pl p||
vähemaks    vähem+ks||C sg tr||
.    .+||Z||
</p>
<p heading="0"> 
Selline    selline+0||P sg n||
olukord    olu_kord+0||S sg n||
meelitab    meelita+b||V b||
noore    noor+0||A sg g||
inimese    inimene+0||S sg g||
aga    aga+0||J||
linna    linn+0||S sg g|| %linn+0||S adt||
ning    ning+0||J||
paljud    palju+d||P pl n||
sinna    sinna+0||D||
elama    ela+ma||V ma||
jäävadki    jää+vadki||V vad||
.    .+||Z||
Tigase    Tigas+0||H sg g||
sõnul    sõna+ul||S pl ad||
on    ole+0||V b||+    ole+0||V vad||
see    see+0||P sg n||
paratamatu    paratamatu+0||A sg n||
asjade    asi+de||S pl g||
kulg    kulg+0||S sg n||
.    .+||Z||
“    “+||Z||
Noorel    noor+l||A sg ad||
inimesel    inimene+l||S sg ad||
,    ,+||Z||
kes    kes+0||P pl n||    kes+0||P sg n||+
lõpetab    lõpeta+b||V b||
kooli    kool+0||S sg g||
või    või+0||J||
ülikooli    üli_kool+0||S sg g||
,    ,+||Z||
on    ole+0||V b||    ole+0||V vad||+
suured    suur+d||A pl n||
unistused    unistus+d||S pl n||
ja    ja+0||J||
päris    päris+0||A||
paljud    palju+d||P pl n||
tahavad    taht+vad||V vad||
karjääri    karjäär+0||S sg p||
teha    tege+a||V da||
,”    ,”+||Z||
selgitas    selgita+s||V s||
Tigas    Tigas+0||H sg n||
.    .+||Z||
“    “+||Z||
Minnakse    mine+akse||V takse||
kergema    kergem+0||C sg g||
vastupanu    vastu_panu+0||S sg g||
teed    tee+d||S sg p||
,    ,+||Z||
sest    sest+0||J||
seda    see+da||P sg p||
kõike    kõik+0||P sg p||
on    ole+0||V b||+    ole+0||V vad||
palju    palju+0||D||
lihtsam    lihtsam+0||C sg n||
teha    tege+a||V da||
Tallinnas    Tallinn+s||H sg in||
või    või+0||J||
Tartus    Tartu+s||H sg in||
.”    .”+||Z||
</p>
<p heading="0"> 
Pelisaar    peli_saar+0||S sg n|| %Peli_saar+0||H sg n||
on    ole+0||V b||+    ole+0||V vad||
aga    aga+0||J||
oma    oma+0||P sg g||
tutvusringkonnas    tutvus_ringkond+s||S sg in||
märganud    märka+nud||V nud||+    märga=nud+0||A||    märga=nud+0||A sg n||    märga=nud+d||A pl n||
viimasel    viimane+l||A sg ad||
ajal    aeg+l||S sg ad||
pigem    pigem+0||D||
linnast    linn+st||S sg el||
maale    maa+le||S sg all||
kolimist    kolimine+t||S sg p||
.    .+||Z||
Tema    tema+0||P sg g||
sõnul    sõna+ul||S pl ad||
tuleks    tule+ks||V ks||
noorel    noor+l||A sg ad||
inimesel    inimene+l||S sg ad||
linnas    linn+s||S sg in||
elamine    elamine+0||S sg n||
järele    järele+0||D||
proovida    proovi+da||V da||
ning    ning+0||J||
siis    siis+0||D||
tagasi    tagasi+0||D||
kodukohta    kodu_koht+0||S sg p|| %kodu_koht+0||S adt||
tulla    tule+a||V da||
.    .+||Z||
“    “+||Z||
Ma    mina+0||P sg n||
arvan    arva+n||V n||
,    ,+||Z||
et    et+0||J||
Põlvamaa    Põlva_maa+0||H sg g||
inimestele    inimene+tele||S pl all||
on    ole+0||V b||+    ole+0||V vad||
looduse    loodus+0||S sg g||
teema    teema+0||S sg n||
nii    nii+0||D||
oluline    oluline+0||A sg n||
,    ,+||Z||
et    et+0||J||
päris    päris+0||A||
paljud    palju+d||P pl n||
tunneksid    tund+ksid||V ksid||
ennast    ise+t||P sg p||
näiteks    näiteks+0||D||
Tallinnas    Tallinn+s||H sg in||
kohutavalt    kohutavalt+0||D||
halvasti    halvasti+0||D||
,”    ,”+||Z||
märkis    märki+s||V s||
ta    tema+0||P sg n||
.    .+||Z||
</p>
<gap/>
<p heading="0"> 
Üldiseks    üldine+ks||A sg tr||
noortevahetuse    noor+te_vahetus+0||S sg g||
teemaks    teema+ks||S sg tr||
olid    ole+id||V sid||
väärtused    väärtus+d||S pl n||
.    .+||Z||
Uuriti    uuri+ti||V ti||
seda    see+da||P sg p||
,    ,+||Z||
kuidas    kuidas+0||D||
näiteks    näide+ks||S sg tr||
meedia    meedia+0||S sg n||
,    ,+||Z||
traditsioonid    traditsioon+d||S pl n||
ja    ja+0||J||
subkultuurid    sub_kultuur+d||S pl n||
mõjutavad    mõjuta+vad||V vad||
noorte    noor+te||S pl g||
väärtusi    väärtus+i||S pl p||
.    .+||Z||
Noortevahetuses    noor+te_vahetus+s||S sg in||
osalesid    osale+sid||V sid||
lisaks    lisa+ks||S sg tr||
Põlvamaa    Põlva_maa+0||H sg g||
Noortekogule    Noortekogule+0||H sg g|| %noor+te_kogu+le||S sg all||
noored    noor+d||S pl n||
Soomest    Soome+st||H sg el||
,    ,+||Z||
Türgist    Türgi+st||H sg el||
ja    ja+0||J||
Ungarist    Ungari+st||H sg el||
.    .+||Z||
Noortevahetust    noor+te_vahetus+t||S sg p||
toetas    toeta+s||V s||
programm    programm+0||S sg n||
Euroopa    Euroopa+0||H sg g||
Noored    noor+d||S pl n||
.    .+||Z||
</p>
</doc>
<doc id="356084" length="1k-10k" crawl_date="2013-01-13" url="http://aken.enl.ee/6275" web_domain="aken.enl.ee" langdiff="0.26" texttype="periodicals"> 
<gap/>
<p heading="1"> 
Rõuge    Rõuge+0||H sg g||
Noorteklubi    noor+te_klubi+0||S sg n||
kasvatab    kasvata+b||V b||
vallavanemaid    valla_vanem+id||S pl p||
</p>
<gap/>
<p heading="0"> 
Üle    üle+0||K||
kümne    kümme+0||N sg g||
aasta    aasta+0||S sg g||
tegutsenud    tegutse+nud||V nud||    tegutse=nud+0||A||+    tegutse=nud+0||A sg n||    tegutse=nud+d||A pl n||
Rõuge    Rõuge+0||H sg g||
Noorteklubi    noor+te_klubi+0||S sg n||
on    ole+0||V b||+    ole+0||V vad||
Võrumaa    Võru_maa+0||H sg g||
noorsootöö    noor_soo_töö+0||S sg g||
pärl    pärl+0||S sg n||
–    -+||Z||
klubis    klubi+s||S sg in||
tegutseb    tegutse+b||V b||
80    80+0||N ?||
aktiivset    aktiivne+t||A sg p||
noort    noor+t||A sg p|| %noor+t||S sg p||
,    ,+||Z||
kes    kes+0||P pl n||+    kes+0||P sg n||
korraldavad    korralda+vad||V vad||
nii    nii+0||D||
rahvusvahelisi    rahvus_vaheline+i||A pl p||
noortevahetusi    noor+te_vahetus+i||S pl p||
kui    kui+0||D||    kui+0||J||+
ka    ka+0||D||
maakondlikke    maakondlik+e||A pl p||
üritusi    üritus+i||S pl p||
.    .+||Z||
</p>
<p heading="0"> 
Ajutiselt    ajutiselt+0||D||
noorsootöötaja    noor_soo_töötaja+0||S sg g||
ametikohuseid    ameti_kohus+id||S pl p||
täitev    täitev+0||A sg n||
Viivika    Viivika+0||H sg n||
Nagel    Nagel+0||H sg n||
ütles    ütle+s||V s||
,    ,+||Z||
et    et+0||J||
1997.    1997.+0||O ?||
aastal    aasta+l||S sg ad||
loodud    loo+dud||V tud||    loodud+0||A||+    loodud+0||A sg n||    loodud+d||A pl n||
noorteklubi    noor+te_klubi+0||S sg g||
eesmärk    ees_märk+0||S sg n||
on    ole+0||V b||+    ole+0||V vad||
pakkuda    pakku+da||V da||
noortele    noor+tele||A pl all||
võimalikult    võimalikult+0||D||
mitmekesiseid    mitme_kesine+id||A pl p||
eneseteostusvõimalusi    enese_teostus_võimalus+i||S pl p||
ning    ning+0||J||
aidata    aita+ta||V da||
vaba    vaba+0||A sg p||
aega    aeg+0||S sg p||
sisustada    sisusta+da||V da||
.    .+||Z||
“    “+||Z||
Selge    selge+0||A sg n||
on    ole+0||V b||+    ole+0||V vad||
see    see+0||P sg n||
,    ,+||Z||
et    et+0||J||
sada    sada+0||N sg n||
protsenti    protsent+0||S sg p||
Rõuge    Rõuge+0||H sg g||
noortest    noor+test||S pl el||
pole    ole+0||V neg o||
alati    alati+0||D||
ja    ja+0||J||
igas    iga+s||P sg in||
tegevuses    tegevus+s||S sg in||
aktiivsed    aktiivne+d||A pl n||
ja    ja+0||J||
huvitatud    huvita+tud||V tud||    huvitatud+0||A||+    huvitatud+0||A sg n||    huvitatud+d||A pl n||
,”    ,”+||Z||
lausus    lausu+s||V s||
Nagel    Nagel+0||H sg n||
.    .+||Z||
</p>
<p heading="0"> 
Seetõttu    see_tõttu+0||D||
on    ole+0||V b||+    ole+0||V vad||
pakutavate    pakutav+te||A pl g||
tegevuste    tegevus+te||S pl g||
skaala    skaala+0||S sg n||
lai    lai+0||A sg n||
.    .+||Z||
“    “+||Z||
Igaühe    iga_üks+0||P sg g||
jaoks    jaoks+0||K||
on    ole+0||V b||+    ole+0||V vad||
oma    oma+0||P sg g||
nišš    nišš+0||S sg n||
–    -+||Z||
keda    kes+da||P pl p||    kes+da||P sg p||+
paelub    paelu+b||V b||
sportlik    sportlik+0||A sg n||
tegevus    tegevus+0||S sg n||
,    ,+||Z||
see    see+0||P sg n||
on    ole+0||V b||+    ole+0||V vad||
liitunud    liitu+nud||V nud||+    liitu=nud+0||A||    liitu=nud+0||A sg n||    liitu=nud+d||A pl n||
Rõuge    Rõuge+0||H sg g||
Racing    Racing+0||H sg n||
Team    Team+0||H sg n||
`    ’+||Z||
i    i+0||Y ?||
jalgrattaklubiga    jalg_ratta_klubi+ga||S sg kom||
,    ,+||Z||
mängib    mängi+b||V b||
võrk-    võrk+0||S sg n|| %võrk+0||S ?||
või    või+0||J||
jalgpalli    jalg_pall+0||S sg g||
,    ,+||Z||
käib    käi+b||V b||
suusamäel    suusa_mägi+l||S sg ad||
või    või+0||J||
kalal    kala+l||S sg ad||
,    ,+||Z||
kasutades    kasuta+des||V des||
selleks    see+ks||P sg tr||
noorteklubi    noor+te_klubi+0||S sg g||
ja    ja+0||J||
-keskuse    keskus+0||S sg g||
poolt    poolt+0||K||
pakutavaid    pakutav+id||A pl p||
olemasolevaid    olemas_olev+id||A pl p||
vahendeid    vahend+id||S pl p||
,”    ,”+||Z||
loetles    loetle+s||V s||
Nagel    Nagel+0||H sg n||
.    .+||Z||
</p>
<p heading="0"> 
Aktiivne    Aktiivne+0||H sg g|| %aktiivne+0||A sg n||
noortevahetus    noor+te_vahetus+0||S sg n||
Noored    noor+d||A pl n|| %noor+d||S pl n||
,    ,+||Z||
kes    kes+0||P pl n||+    kes+0||P sg n||
tahavad    taht+vad||V vad||
panna    pane+a||V da||
proovile    proov+le||S sg all||
oma    oma+0||P sg g||
organisaatorivõimed    organisaatori_võime+d||S pl n||
,    ,+||Z||
saavad    saa+vad||V vad||
klubis    klubi+s||S sg in||
koolitusi    koolitus+i||S pl p||
.    .+||Z||
Viimane    viimane+0||A sg n||
taoline    taoline+0||A sg n||
projekt    projekt+0||S sg n||
vältas    välta+s||V s||
mullu    mullu+0||D||
oktoobrist    oktoober+st||S sg el||
tänavu    tänavu+0||D||
kevadeni    kevad+ni||S sg ter||+    kevade+ni||S sg ter||
ning    ning+0||J||
koostöös    koos_töö+s||S sg in||
Võrumaa    Võru_maa+0||H sg g||
Partnerluskoguga    Partnerlus_kogu+ga||H sg kom||    Partnerluskogu+ga||H sg kom|| %partnerlus_kogu+ga||S sg kom||
korraldas    korralda+s||V s||
Rõuge    Rõuge+0||H sg g||
Noorteklubi    noor+te_klubi+0||S sg g|| %noor+te_klubi+0||S sg n||
koolitusi    koolitus+i||S pl p||
noorteliidritele    noor+te_liider+tele||S pl all||
ja    ja+0||J||
noorsootöötajatele    noor_soo_töötaja+tele||S pl all||
.    .+||Z||
</p>
<p heading="0"> 
Eriti    eriti+0||D||
aktiivselt    aktiivselt+0||D||
tegelevad    tegele+vad||V vad||
klubilised    klubi=line+d||A pl n||
noortevahetusega    noor+te_vahetus+ga||S sg kom||
.    .+||Z||
Rahvusvahelise    rahvus_vaheline+0||A sg g||
koostööga    koos_töö+ga||S sg kom||
alustati    alusta+ti||V ti||
2001.    2001.+0||O ?||
aastal    aasta+l||S sg ad||
ning    ning+0||J||
sellest    see+st||P sg el||
alates    alates+0||K||
on    ole+0||V b||+    ole+0||V vad||
klubi    klubi+0||S sg g||
teinud    tege+nud||V nud||+    tei=nud+0||A||    tei=nud+0||A sg n||    tei=nud+d||A pl n||
tihedat    tihe+t||A sg p||
koostööd    koos_töö+d||S sg p||
Euroopa    Euroopa+0||H sg g||
ja    ja+0||J||
selle    see+0||P sg g||
naaberpiirkondadega    naaber_piirkond+dega||S pl kom||
.    .+||Z||
Viimane    viimane+0||A sg n||
taoline    taoline+0||A sg n||
kohtumine    kohtumine+0||S sg n||
Rõuge    Rõuge+0||H sg g||
Noorteklubi    noor+te_klubi+0||S sg g||
eestvedamisel    eest_vedamine+l||S sg ad||
leidis    leid+is||V s||
aset    ase+t||S sg p||
paar    paar+0||N sg n||
aastat    aasta+t||S sg p||
tagasi    tagasi+0||K||
demokraatia    demo_kraatia+0||S sg n|| %demokraatia+0||S sg g||
teemal    teema+l||S sg ad||
.    .+||Z||
Projektis    projekt+s||S sg in||
osalesid    osale+sid||V sid||
peale    peale+0||K||
eestlaste    eestlane+te||S pl g||
külalised    külaline+d||S pl n||
Iisraelist    Iisrael+st||H sg el||
,    ,+||Z||
Jordaaniast    Jordaania+st||H sg el||
ja    ja+0||J||
Kreekast    Kreeka+st||H sg el||
.    .+||Z||
</p>
<p heading="0"> 
Kõigi    kõik+0||P pl g||
nende    see+de||P pl g||
projektide    projekt+de||S pl g||
taga    taga+0||K||
seisavad    seis+vad||V vad||
liikmed    liige+d||S pl n||
,    ,+||Z||
